MATNR,YE49_plus_7
ID1001988,"76,44"
G36133,"10,65"
G27968,"487,41"
G36346,"553,73"
G32955,"69,68"
G40306,"112,11"
ID952619,"23,45"
G43422,"12,51"
G23303,"161,87"
G32321STT,"256,81"
G28094,"17,05"
G27735,"114,66"
ID1028771,"97,32"
ID953562,"1019,57"
ID1002043,"15,07"
G34281001,"257,90"
G06346,"11,43"
FG27543,"17,36"
ID931703,"186,85"
G43226,"4,55"
G47310,"82,75"
G32659SST1,"124,33"
ID936964,"54,09"
G45066,"10,54"
G19286001,"72,92"
ID1028770,"69,51"
G31255,"140,22"
G45163,"18,51"
ID975009,"568,63"
ID737791,"140,47"
G27633,"53,99"
ID422082,"340,67"
G43934,"42,21"
G20393,"36,31"
G27057,"22,69"
G27974,"192,79"
G20021,"155,98"
G37035,"6,15"
G07146,"4,30"
ID796900,"115,67"
G45547,"14,46"
G33933002,"201,16"
G43975,"6,38"
ID981484,"57,00"
G06188,"45,14"
G19069,"88,88"
G13914,"7,75"
G13929W,"8,62"
G12422,"13,50"
G12465,"23,87"
G37059,"89,33"
G33771N,"139,16"
G47456,"16,41"
G27296001,"308,00"
G46103,"22,84"
G32168SST,"203,47"
G43373,"12,23"
G43293,"5,59"
G02210P,"12,41"
G32211001,"100,02"
G45363,"2,84"
G45406,"3,69"
G43535,"1,44"
G11006,"10,82"
G45137,"4,13"
G46415,"18,51"
G32843,"75,30"
G38849WNU,"107,16"
FG27458,"27,39"
G38536001,"127,57"
G28819001,"61,82"
G23373,"74,46"
G19948CG,"295,15"
G46312SS,"36,42"
G27076,"22,69"
G20159,"43,39"
G24026,"289,87"
G24027,"289,87"
G32783,"114,34"
G40378,"34,61"
G45342,"15,32"
ID777557,"8,50"
G31129,"131,52"
ID975033,"124,12"
G12036,"85,86"
ID1004767,"28,96"
ID974993,"127,29"
G23425,"105,36"
ID605666,"31,49"
ID796794,"161,99"
ID796797,"175,88"
ID796912,"252,19"
ID796929,"1179,38"
ID796672,"148,74"
ID796724,"202,42"
G19354001,"137,26"
ID728892,"88,68"
ID728896,"260,89"
ID936566,"107,67"
ID936580,"320,07"
G23302,"182,96"
ID981475,"24,29"
ID648370,"122,25"
ID936575,"253,62"
ID796910,"53,99"
ID1005389,"34,15"
G29025,"126,43"
G33624001,"100,99"
G47733,"20,52"
G48191,"7,43"
G27286,"873,24"
G27470,"221,79"
G41208,"50,45"
ID796926,"159,99"
G11111,"15,04"
G19396,"243,32"
G19575,"94,09"
G24900,"16,09"
G42132,"95,47"
G43500,"7,64"
G43806,"4,74"
ID334735,"69,41"
ID1001948,"99,97"
ID1021699,"222,85"
ID952609,"23,89"
ID1028679,"183,64"
ID1028709,"6,07"
ID1028675,"201,64"
